State,Diabetes_Prevalence_2021,Pre_Diabetes_2021,Hypertension_2021,Obesity_2021,Region,Tier,Population_2024,Total_Hospitals,Hospitals_per_Million,Healthcare_Access_Score,Diagnosis_Rate_Adjusted,Treatment_Rate_Adjusted,Adult_Pop,Total_Diabetics,Diagnosed_Patients,Treated_Patients,Compliant_Patients,Treatment_Gap,Treatment_Gap_Pct,Annual_Demand,Annual_Revenue,Revenue_Cr,Opportunity_Patients,Opportunity_Revenue_Cr,Market_Tier,Priority_Score,Rank
Assam,0.091,0.105,0.265,0.2,Northeast,Rural,36000000,183,5.083333333,0.035170718,0.420551215,0.523792679,22320000,2031120,854189.9844,447418.4606,348986.3993,1583701.539,0.779718352,127380035.7,1528560429,152.8560429,1583701.539,693.6612742,Tier-4 (Emerging),15.8706886,21
Jharkhand,0.066,0.092,0.235,0.18,East,Rural,39000000,478,12.25641026,0.14849537,0.454548611,0.552123843,24180000,1595880,725405.0375,400513.4167,312400.4651,1195366.583,0.749032874,114026169.7,1368314037,136.8314037,1195366.583,523.5705635,Tier-4 (Emerging),15.13947209,22
Uttarakhand,0.079,0.125,0.305,0.28,North,Mixed,12000000,390,32.5,0.468315972,0.550494792,0.632078993,7440000,587760,323558.8188,204514.7323,159521.4912,383245.2677,0.652043806,58225344.3,698704131.6,69.87041316,383245.2677,167.8614272,Tier-5 (Small),14.14219271,23
Chhattisgarh,0.061,0.085,0.225,0.18,Central,Rural,30000000,445,14.83333333,0.189207176,0.466762153,0.562301794,18600000,1134600,529588.3385,297788.4728,232275.0088,836811.5272,0.737538804,84780378.22,1017364539,101.7364539,836811.5272,366.5234489,Tier-4 (Emerging),12.50338655,24
Puducherry,0.263,0.118,0.432,0.45,South,Urban,1600000,47,29.375,0.418945313,0.535683594,0.619736328,992000,260896,139757.7069,86612.92809,67558.08391,174283.0719,0.668017417,24658700.63,295904407.5,29.59044075,174283.0719,76.3359855,Tier-5 (Small),10.47734836,25
Meghalaya,0.069,0.085,0.215,0.18,Northeast,Rural,3500000,62,17.71428571,0.234722222,0.480416667,0.573680556,2170000,149730,71932.7875,41266.4415,32187.82437,108463.5585,0.7243943,11748555.89,140982670.7,14.09826707,108463.5585,47.50703862,Tier-5 (Small),5.855243478,26
Tripura,0.094,0.115,0.255,0.22,Northeast,Rural,4200000,41,9.761904762,0.109085648,0.442725694,0.542271412,2604000,244776,108368.6246,58765.20707,45836.86152,186010.7929,0.759922513,16730454.45,200765453.4,20.07654534,186010.7929,81.4727273,Tier-5 (Small),4.034540629,27
Manipur,0.085,0.115,0.245,0.18,Northeast,Rural,3200000,19,5.9375,0.048665365,0.424599609,0.527166341,1984000,168640,71604.47813,37747.47074,29443.02718,130892.5293,0.776165377,10746704.92,128960459,12.8960459,130892.5293,57.33092781,Tier-5 (Small),2.235705474,28
Nagaland,0.075,0.095,0.235,0.18,Northeast,Rural,2300000,14,6.086956522,0.05102657,0.425307971,0.527756643,1426000,106950,45486.6875,24005.90147,18724.60315,82944.09853,0.775540893,6834480.15,82013761.8,8.20137618,82944.09853,36.32951515,Tier-5 (Small),1.821477456,29
Arunachal Pradesh,0.072,0.085,0.225,0.18,Northeast,Rural,1600000,10,6.25,0.053602431,0.426080729,0.528400608,992000,71424,30432.39,16080.49337,12542.78483,55343.50663,0.774858684,4578116.462,54937397.54,5.493739754,55343.50663,24.2404559,Tier-5 (Small),1.607192442,30
Sikkim,0.143,0.158,0.405,0.38,Northeast,Rural,700000,2,2.857142857,0,0.41,0.515,434000,62062,25445.42,13104.3913,10221.42521,48957.6087,0.78885,3730820.203,44769842.44,4.476984244,48957.6087,21.44343261,Tier-5 (Small),0.460523255,31
