Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,fetched_at
7064669,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1995,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.3 [4.2-9.1],6.3,4.2,9.1,,2017-11-17T08:25:42+01:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8207156,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1989,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.8 [3.4-9.1],5.8,3.4,9.1,,2017-11-17T08:28:38+01:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8295653,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1987,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.2 [3.4-7.5],5.2,3.4,7.5,,2017-11-17T08:31:51+01:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8980948,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2004,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.9 [6.3-9.7],7.9,6.3,9.7,,2017-11-17T08:34:50+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
760795,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2012,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.9 [5.6-13.0],8.9,5.6,13.0,,2017-11-17T08:25:42+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1046917,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1996,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.7 [5.1-8.6],6.7,5.1,8.6,,2017-11-17T08:33:27+01:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1185424,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1987,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.8 [2.6-8.1],4.8,2.6,8.1,,2017-11-17T08:25:42+01:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1325679,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1983,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.1 [1.8-7.9],4.1,1.8,7.9,,2017-11-17T08:25:42+01:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1498861,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2007,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.0 [5.7-10.6],8.0,5.7,10.6,,2017-11-17T08:28:38+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1600431,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1998,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.1 [4.9-9.8],7.1,4.9,9.8,,2017-11-17T08:28:38+01:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
